#         t          x          y          z         vx         vy         vz
      7.060    410.668   -179.938    180.129    -25.723    -38.794    -31.635
      7.070    410.409   -180.325    179.812    -25.992    -38.676    -31.745
      7.080    410.148   -180.711    179.494    -26.261    -38.557    -31.854
      7.090    409.884   -181.096    179.175    -26.530    -38.439    -31.963
      7.100    409.617   -181.480    178.854    -26.799    -38.320    -32.072
      7.110    409.348   -181.863    178.533    -27.068    -38.200    -32.181
      7.120    409.076   -182.244    178.211    -27.338    -38.080    -32.291
      7.130    408.801   -182.624    177.887    -27.607    -37.960    -32.399
      7.140    408.524   -183.003    177.563    -27.877    -37.839    -32.508
      7.150    408.244   -183.381    177.237    -28.147    -37.718    -32.617
      7.160    407.961   -183.758    176.910    -28.417    -37.597    -32.726
      7.170    407.675   -184.133    176.583    -28.687    -37.475    -32.835
      7.180    407.387   -184.507    176.254    -28.957    -37.353    -32.943
      7.190    407.096   -184.880    175.924    -29.228    -37.230    -33.052
      7.200    406.802   -185.252    175.593    -29.499    -37.107    -33.160
      7.210    406.506   -185.622    175.261    -29.770    -36.983    -33.269
      7.220    406.207   -185.992    174.927    -30.041    -36.859    -33.377
      7.230    405.905   -186.360    174.593    -30.312    -36.735    -33.485
      7.240    405.601   -186.726    174.258    -30.583    -36.610    -33.594
      7.250    405.294   -187.092    173.921    -30.855    -36.485    -33.702
      7.260    404.984   -187.456    173.584    -31.126    -36.360    -33.810
      7.270    404.671   -187.819    173.245    -31.398    -36.234    -33.918
      7.280    404.356   -188.181    172.905    -31.670    -36.107    -34.026
      7.290    404.038   -188.541    172.564    -31.942    -35.980    -34.134
      7.300    403.717   -188.900    172.223    -32.215    -35.853    -34.242
      7.310    403.393   -189.258    171.880    -32.487    -35.725    -34.350
      7.320    403.067   -189.615    171.536    -32.760    -35.597    -34.457
      7.330    402.738   -189.970    171.190    -33.033    -35.469    -34.565
      7.340    402.407   -190.324    170.844    -33.306    -35.339    -34.673
      7.350    402.072   -190.677    170.497    -33.580    -35.210    -34.781
      7.360    401.735   -191.028    170.149    -33.853    -35.080    -34.888
      7.370    401.395   -191.378    169.799    -34.127    -34.950    -34.996
      7.380    401.052   -191.727    169.449    -34.401    -34.819    -35.103
      7.390    400.707   -192.075    169.097    -34.675    -34.688    -35.210
      7.400    400.359   -192.421    168.745    -34.949    -34.556    -35.318
      7.410    400.008   -192.766    168.391    -35.224    -34.424    -35.425
      7.420    399.654   -193.110    168.036    -35.499    -34.291    -35.532
      7.430    399.298   -193.452    167.680    -35.774    -34.158    -35.640
      7.440    398.939   -193.793    167.323    -36.049    -34.025    -35.747
      7.450    398.577   -194.132    166.965    -36.325    -33.891    -35.854
      7.460    398.212   -194.470    166.606    -36.600    -33.756    -35.961
      7.470    397.845   -194.807    166.246    -36.876    -33.621    -36.068
      7.480    397.475   -195.143    165.885    -37.152    -33.486    -36.175
      7.490    397.102   -195.477    165.523    -37.429    -33.350    -36.282
      7.500    396.726   -195.810    165.159    -37.705    -33.214    -36.389
      7.510    396.348   -196.141    164.795    -37.982    -33.077    -36.496
      7.520    395.967   -196.471    164.429    -38.259    -32.940    -36.603
      7.530    395.583   -196.800    164.063    -38.537    -32.802    -36.709
      7.540    395.196   -197.127    163.695    -38.814    -32.664    -36.816
      7.550    394.806   -197.453    163.326    -39.092    -32.525    -36.923
      7.560    394.414   -197.778    162.957    -39.370    -32.386    -37.029
      7.570    394.019   -198.101    162.586    -39.648    -32.246    -37.136
      7.580    393.621   -198.423    162.214    -39.927    -32.106    -37.243
      7.590    393.220   -198.743    161.841    -40.206    -31.965    -37.349
      7.600    392.817   -199.062    161.467    -40.485    -31.824    -37.456
      7.610    392.411   -199.380    161.092    -40.764    -31.682    -37.562
      7.620    392.002   -199.696    160.716    -41.044    -31.540    -37.669
      7.630    391.590   -200.010    160.338    -41.324    -31.397    -37.775
      7.640    391.175   -200.324    159.960    -41.604    -31.253    -37.881
      7.650    390.758   -200.636    159.581    -41.884    -31.110    -37.988
      7.660    390.338   -200.946    159.200    -42.165    -30.965    -38.094
      7.670    389.915   -201.255    158.819    -42.446    -30.820    -38.200
      7.680    389.489   -201.562    158.436    -42.727    -30.675    -38.306
      7.690    389.060   -201.868    158.053    -43.009    -30.529    -38.413
      7.700    388.628   -202.173    157.668    -43.291    -30.383    -38.519
      7.710    388.194   -202.476    157.282    -43.573    -30.236    -38.625
      7.720    387.757   -202.778    156.896    -43.855    -30.088    -38.731
      7.730    387.317   -203.078    156.508    -44.138    -29.940    -38.837
      7.740    386.874   -203.376    156.119    -44.421    -29.792    -38.943
      7.750    386.429   -203.674    155.729    -44.705    -29.642    -39.049
      7.760    385.980   -203.969    155.338    -44.988    -29.493    -39.155
      7.770    385.529   -204.263    154.946    -45.272    -29.342    -39.261
      7.780    385.075   -204.556    154.553    -45.557    -29.192    -39.367
      7.790    384.618   -204.847    154.159    -45.841    -29.040    -39.473
      7.800    384.158   -205.137    153.763    -46.126    -28.888    -39.578
      7.810    383.695   -205.425    153.367    -46.411    -28.736    -39.684
      7.820    383.230   -205.712    152.970    -46.697    -28.583    -39.790
      7.830    382.761   -205.997    152.571    -46.983    -28.429    -39.896
      7.840    382.290   -206.280    152.172    -47.269    -28.275    -40.001
      7.850    381.816   -206.562    151.771    -47.556    -28.120    -40.107
      7.860    381.339   -206.843    151.370    -47.842    -27.965    -40.213
      7.870    380.859   -207.121    150.967    -48.130    -27.809    -40.319
      7.880    380.376   -207.399    150.563    -48.417    -27.652    -40.424
      7.890    379.891   -207.675    150.158    -48.705    -27.495    -40.530
      7.900    379.402   -207.949    149.753    -48.993    -27.337    -40.635
      7.910    378.911   -208.221    149.346    -49.282    -27.179    -40.741
      7.920    378.417   -208.492    148.938    -49.571    -27.020    -40.846
      7.930    377.919   -208.762    148.529    -49.860    -26.860    -40.952
      7.940    377.419   -209.029    148.119    -50.150    -26.700    -41.058
      7.950    376.916   -209.296    147.708    -50.440    -26.539    -41.163
      7.960    376.411   -209.560    147.295    -50.731    -26.377    -41.268
      7.970    375.902   -209.823    146.882    -51.022    -26.215    -41.374
      7.980    375.390   -210.085    146.468    -51.313    -26.052    -41.479
      7.990    374.876   -210.344    146.053    -51.604    -25.889    -41.585
      8.000    374.358   -210.602    145.636    -51.896    -25.725    -41.690
      8.010    373.838   -210.859    145.219    -52.189    -25.560    -41.795
      8.020    373.314   -211.113    144.800    -52.481    -25.395    -41.901
      8.030    372.788   -211.367    144.381    -52.775    -25.229    -42.006
      8.040    372.259   -211.618    143.960    -53.068    -25.062    -42.112
      8.050    371.727   -211.868    143.539    -53.362    -24.895    -42.217
      8.060    371.192   -212.116    143.116    -53.656    -24.727    -42.322
      8.070    370.653   -212.362    142.692    -53.951    -24.558    -42.427
      8.080    370.112   -212.607    142.267    -54.246    -24.389    -42.533
      8.090    369.569   -212.850    141.842    -54.542    -24.219    -42.638
      8.100    369.022   -213.092    141.415    -54.838    -24.048    -42.743
      8.110    368.472   -213.331    140.987    -55.134    -23.877    -42.848
      8.120    367.919   -213.569    140.558    -55.431    -23.705    -42.954
      8.130    367.363   -213.805    140.128    -55.728    -23.532    -43.059
      8.140    366.804   -214.040    139.696    -56.026    -23.359    -43.164
      8.150    366.243   -214.272    139.264    -56.324    -23.184    -43.269
      8.160    365.678   -214.503    138.831    -56.623    -23.009    -43.374
      8.170    365.110   -214.733    138.397    -56.922    -22.834    -43.479
      8.180    364.539   -214.960    137.962    -57.221    -22.657    -43.585
      8.190    363.966   -215.186    137.525    -57.521    -22.480    -43.690
      8.200    363.389   -215.410    137.088    -57.822    -22.302    -43.795
      8.210    362.809   -215.632    136.649    -58.123    -22.124    -43.900
      8.220    362.227   -215.852    136.210    -58.424    -21.945    -44.005
      8.230    361.641   -216.071    135.769    -58.726    -21.764    -44.110
      8.240    361.052   -216.287    135.328    -59.028    -21.584    -44.215
      8.250    360.460   -216.502    134.885    -59.331    -21.402    -44.320
      8.260    359.865   -216.715    134.441    -59.634    -21.220    -44.425
      8.270    359.268   -216.927    133.996    -59.938    -21.037    -44.530
      8.280    358.667   -217.136    133.551    -60.242    -20.853    -44.635
      8.290    358.063   -217.344    133.104    -60.547    -20.668    -44.740
      8.300    357.456   -217.550    132.656    -60.852    -20.482    -44.845
      8.310    356.846   -217.753    132.207    -61.157    -20.296    -44.951
      8.320    356.233   -217.955    131.757    -61.464    -20.109    -45.056
      8.330    355.616   -218.156    131.306    -61.770    -19.921    -45.161
      8.340    354.997   -218.354    130.853    -62.077    -19.732    -45.266
      8.350    354.375   -218.550    130.400    -62.385    -19.543    -45.371
      8.360    353.749   -218.745    129.946    -62.693    -19.353    -45.476
      8.370    353.121   -218.937    129.491    -63.002    -19.161    -45.581
      8.380    352.489   -219.128    129.034    -63.312    -18.969    -45.686
      8.390    351.855   -219.317    128.577    -63.621    -18.777    -45.791
      8.400    351.217   -219.503    128.119    -63.932    -18.583    -45.896
      8.410    350.576   -219.688    127.659    -64.243    -18.388    -46.001
      8.420    349.932   -219.871    127.199    -64.554    -18.193    -46.106
      8.430    349.285   -220.052    126.737    -64.866    -17.996    -46.211
      8.440    348.635   -220.231    126.274    -65.179    -17.799    -46.316
      8.450    347.981   -220.408    125.811    -65.492    -17.601    -46.420
      8.460    347.325   -220.583    125.346    -65.806    -17.402    -46.525
      8.470    346.665   -220.756    124.880    -66.120    -17.202    -46.630
      8.480    346.003   -220.927    124.413    -66.435    -17.002    -46.735
      8.490    345.337   -221.096    123.946    -66.750    -16.800    -46.840
      8.500    344.668   -221.263    123.477    -67.066    -16.597    -46.945
      8.510    343.995   -221.428    123.007    -67.383    -16.394    -47.050
      8.520    343.320   -221.591    122.536    -67.700    -16.189    -47.155
      8.530    342.641   -221.752    122.064    -68.018    -15.984    -47.260
      8.540    341.960   -221.911    121.590    -68.336    -15.777    -47.365
      8.550    341.275   -222.067    121.116    -68.655    -15.570    -47.470
      8.560    340.586   -222.222    120.641    -68.975    -15.362    -47.575
      8.570    339.895   -222.375    120.165    -69.295    -15.153    -47.680
      8.580    339.201   -222.525    119.687    -69.616    -14.942    -47.785
      8.590    338.503   -222.674    119.209    -69.938    -14.731    -47.890
      8.600    337.802   -222.820    118.730    -70.260    -14.519    -47.995
      8.610    337.098   -222.964    118.249    -70.583    -14.306    -48.100
      8.620    336.390   -223.106    117.768    -70.906    -14.091    -48.205
      8.630    335.679   -223.246    117.285    -71.230    -13.876    -48.310
      8.640    334.966   -223.383    116.801    -71.555    -13.660    -48.415
      8.650    334.248   -223.519    116.317    -71.881    -13.443    -48.520
      8.660    333.528   -223.652    115.831    -72.207    -13.224    -48.625
      8.670    332.804   -223.783    115.344    -72.533    -13.005    -48.730
      8.680    332.077   -223.912    114.856    -72.861    -12.784    -48.835
      8.690    331.347   -224.039    114.368    -73.189    -12.563    -48.940
      8.700    330.613   -224.164    113.878    -73.518    -12.340    -49.045
      8.710    329.877   -224.286    113.387    -73.847    -12.116    -49.150
      8.720    329.136   -224.406    112.895    -74.178    -11.892    -49.254
      8.730    328.393   -224.524    112.402    -74.508    -11.666    -49.359
      8.740    327.646   -224.639    111.907    -74.840    -11.439    -49.464
      8.750    326.896   -224.752    111.412    -75.173    -11.210    -49.569
      8.760    326.143   -224.863    110.916    -75.506    -10.981    -49.674
      8.770    325.386   -224.972    110.419    -75.839    -10.751    -49.779
      8.780    324.626   -225.078    109.920    -76.174    -10.519    -49.884
      8.790    323.863   -225.182    109.421    -76.509    -10.286    -49.989
      8.800    323.096   -225.284    108.921    -76.845    -10.052    -50.094
      8.810    322.326   -225.384    108.419    -77.182     -9.817    -50.199
      8.820    321.552   -225.480    107.917    -77.520     -9.581    -50.304
      8.830    320.775   -225.575    107.413    -77.858     -9.343    -50.409
      8.840    319.995   -225.667    106.909    -78.197     -9.104    -50.514
      8.850    319.211   -225.757    106.403    -78.537     -8.864    -50.619
      8.860    318.424   -225.845    105.896    -78.878     -8.623    -50.724
      8.870    317.634   -225.930    105.388    -79.219     -8.380    -50.829
      8.880    316.840   -226.012    104.880    -79.562     -8.136    -50.934
      8.890    316.043   -226.092    104.370    -79.905     -7.891    -51.039
      8.900    315.242   -226.170    103.859    -80.249     -7.645    -51.144
      8.910    314.438   -226.245    103.347    -80.593     -7.397    -51.249
      8.920    313.630   -226.318    102.834    -80.939     -7.148    -51.354
      8.930    312.819   -226.388    102.320    -81.285     -6.898    -51.459
      8.940    312.004   -226.456    101.805    -81.632     -6.646    -51.564
      8.950    311.186   -226.521    101.288    -81.981     -6.393    -51.669
      8.960    310.365   -226.584    100.771    -82.329     -6.139    -51.773
      8.970    309.540   -226.644    100.253    -82.679     -5.883    -51.878
      8.980    308.711   -226.701     99.734    -83.030     -5.626    -51.983
      8.990    307.879   -226.756     99.213    -83.381     -5.368    -52.088
      9.000    307.043   -226.809     98.692    -83.734     -5.108    -52.193
      9.010    306.204   -226.859     98.169    -84.087     -4.846    -52.298
      9.020    305.362   -226.906     97.646    -84.441     -4.583    -52.403
      9.030    304.515   -226.950     97.121    -84.796     -4.319    -52.508
      9.040    303.666   -226.992     96.596    -85.153     -4.053    -52.613
      9.050    302.812   -227.031     96.069    -85.509     -3.786    -52.718
      9.060    301.956   -227.068     95.541    -85.867     -3.517    -52.822
      9.070    301.095   -227.102     95.013    -86.226     -3.247    -52.927
      9.080    300.231   -227.133     94.483    -86.586     -2.975    -53.032
      9.090    299.363   -227.161     93.952    -86.947     -2.702    -53.137
      9.100    298.492   -227.187     93.420    -87.308     -2.427    -53.242
      9.110    297.617   -227.210     92.887    -87.671     -2.151    -53.346
      9.120    296.739   -227.230     92.353    -88.035     -1.873    -53.451
      9.130    295.856   -227.247     91.818    -88.399     -1.593    -53.556
      9.140    294.971   -227.262     91.282    -88.765     -1.312    -53.661
      9.150    294.081   -227.273     90.745    -89.131     -1.029    -53.765
      9.160    293.188   -227.282     90.207    -89.499     -0.745    -53.870
      9.170    292.291   -227.288     89.668    -89.868     -0.458    -53.975
      9.180    291.391   -227.291     89.127    -90.237     -0.170    -54.079
      9.190    290.486   -227.292     88.586    -90.608      0.119    -54.184
      9.200    289.579   -227.289     88.044    -90.980      0.410    -54.289
      9.210    288.667   -227.283     87.500    -91.352      0.703    -54.393
      9.220    287.751   -227.275     86.956    -91.726      0.998    -54.498
      9.230    286.832   -227.263     86.410    -92.101      1.295    -54.602
      9.240    285.909   -227.249     85.864    -92.477      1.593    -54.707
      9.250    284.983   -227.232     85.316    -92.854      1.893    -54.811
      9.260    284.052   -227.211     84.767    -93.233      2.195    -54.916
      9.270    283.118   -227.188     84.218    -93.612      2.499    -55.020
      9.280    282.180   -227.161     83.667    -93.992      2.805    -55.125
      9.290    281.238   -227.132     83.115    -94.374      3.113    -55.229
      9.300    280.293   -227.099     82.563    -94.756      3.422    -55.333
      9.310    279.343   -227.063     82.009    -95.140      3.734    -55.437
      9.320    278.390   -227.024     81.454    -95.525      4.047    -55.542
      9.330    277.433   -226.982     80.898    -95.911      4.363    -55.646
      9.340    276.472   -226.937     80.341    -96.299      4.680    -55.750
      9.350    275.507   -226.889     79.783    -96.687      5.000    -55.854
      9.360    274.538   -226.837     79.224    -97.077      5.321    -55.958
      9.370    273.565   -226.782     78.664    -97.468      5.645    -56.062
      9.380    272.588   -226.724     78.103    -97.860      5.970    -56.166
      9.390    271.608   -226.663     77.540    -98.253      6.298    -56.270
      9.400    270.623   -226.598     76.977    -98.648      6.628    -56.374
      9.410    269.635   -226.530     76.413    -99.044      6.960    -56.478
      9.420    268.642   -226.459     75.848    -99.441      7.294    -56.581
      9.430    267.646   -226.384     75.281    -99.839      7.630    -56.685
      9.440    266.646   -226.306     74.714   -100.239      7.969    -56.788
      9.450    265.641   -226.225     74.145   -100.640      8.310    -56.892
      9.460    264.633   -226.140     73.576   -101.042      8.653    -56.995
      9.470    263.620   -226.052     73.006   -101.446      8.998    -57.099
      9.480    262.604   -225.960     72.434   -101.851      9.346    -57.202
      9.490    261.583   -225.865     71.862   -102.257      9.696    -57.305
      9.500    260.559   -225.766     71.288   -102.665     10.049    -57.408
      9.510    259.530   -225.664     70.713   -103.074     10.404    -57.511
      9.520    258.497   -225.558     70.138   -103.484     10.761    -57.614
      9.530    257.460   -225.449     69.561   -103.896     11.121    -57.717
      9.540    256.419   -225.336     68.983   -104.309     11.484    -57.820
      9.550    255.374   -225.219     68.405   -104.723     11.849    -57.923
      9.560    254.325   -225.099     67.825   -105.139     12.216    -58.025
      9.570    253.271   -224.975     67.244   -105.557     12.586    -58.128
      9.580    252.214   -224.847     66.662   -105.975     12.959    -58.230
      9.590    251.152   -224.715     66.080   -106.396     13.334    -58.332
      9.600    250.086   -224.580     65.496   -106.818     13.712    -58.434
      9.610    249.016   -224.441     64.911   -107.241     14.093    -58.536
      9.620    247.941   -224.298     64.325   -107.666     14.477    -58.638
      9.630    246.862   -224.152     63.738   -108.092     14.863    -58.740
      9.640    245.779   -224.001     63.150   -108.520     15.252    -58.842
      9.650    244.692   -223.846     62.561   -108.949     15.644    -58.943
      9.660    243.600   -223.688     61.971   -109.380     16.039    -59.045
      9.670    242.504   -223.526     61.380   -109.812     16.437    -59.146
      9.680    241.404   -223.359     60.788   -110.247     16.838    -59.247
      9.690    240.299   -223.189     60.195   -110.682     17.242    -59.348
      9.700    239.190   -223.014     59.601   -111.119     17.649    -59.448
      9.710    238.077   -222.836     59.006   -111.558     18.059    -59.549
      9.720    236.959   -222.653     58.410   -111.999     18.472    -59.649
      9.730    235.837   -222.466     57.813   -112.441     18.888    -59.749
      9.740    234.710   -222.275     57.216   -112.885     19.308    -59.849
      9.750    233.579   -222.080     56.617   -113.331     19.731    -59.949
      9.760    232.444   -221.881     56.017   -113.778     20.157    -60.049
      9.770    231.304   -221.677     55.416   -114.227     20.586    -60.148
      9.780    230.159   -221.469     54.814   -114.677     21.019    -60.247
      9.790    229.010   -221.257     54.211   -115.130     21.455    -60.346
      9.800    227.857   -221.040     53.607   -115.584     21.895    -60.445
      9.810    226.698   -220.819     53.002   -116.040     22.338    -60.544
      9.820    225.536   -220.593     52.396   -116.498     22.785    -60.642
      9.830    224.368   -220.363     51.789   -116.957     23.235    -60.740
      9.840    223.197   -220.129     51.181   -117.419     23.689    -60.838
      9.850    222.020   -219.889     50.572   -117.882     24.147    -60.935
      9.860    220.839   -219.646     49.962   -118.347     24.609    -61.032
      9.870    219.653   -219.397     49.351   -118.814     25.074    -61.129
      9.880    218.463   -219.144     48.740   -119.283     25.544    -61.226
      9.890    217.267   -218.886     48.127   -119.754     26.017    -61.322
      9.900    216.068   -218.624     47.513   -120.227     26.494    -61.418
      9.910    214.863   -218.356     46.899   -120.701     26.975    -61.514
      9.920    213.654   -218.084     46.283   -121.178     27.461    -61.609
      9.930    212.439   -217.807     45.666   -121.656     27.951    -61.704
      9.940    211.220   -217.525     45.049   -122.137     28.444    -61.799
      9.950    209.997   -217.238     44.430   -122.620     28.942    -61.894
      9.960    208.768   -216.946     43.811   -123.104     29.445    -61.987
      9.970    207.535   -216.649     43.191   -123.591     29.952    -62.081
      9.980    206.296   -216.347     42.569   -124.080     30.463    -62.174
      9.990    205.053   -216.040     41.947   -124.570     30.979    -62.267
     10.000    203.805   -215.728     41.324   -125.063     31.500    -62.359
     10.010    202.552   -215.410     40.700   -125.558     32.025    -62.451
